"a aquele", "para isso"
"oscilar", "Seja instável"
"osciloscópio", "Equipamento eletrônico que fornece imagens visuais de quantidades elétricas variadas"
"ósculo", "o ato de acariciar com os lábios (ou uma instância)"
"osmótico", "de ou relacionado à osmose"
"ósseo", "de ou se relacionar ou formar ou anexado a um esqueleto"
"osso", "tecido conjuntivo rígido que compõe o esqueleto dos vertebrados"
"ostensório", "(Igreja Católica Romana) Um vaso (geralmente de ouro ou prata) no qual o host consagrado é exposto para adoração"
"ostentação", "exibição barata ou pretensiosa ou vaidosa"
"ostentar", "mostrar"
"ostracismo", "o ato de excluir alguém da sociedade por consentimento geral"
"ostrar", "moluscos marinhos com uma concha irregular; encontrado na cama do mar principalmente em águas costeiras"
"otário", "uma pessoa que é ingênua e fácil de aproveitar"
"ótico", "de ou se relacionar ou envolver luz ou óptica"
"otimismo", "uma disposição geral para esperar o melhor em todas as coisas"
"otimista", "Esperando o melhor neste melhor de todos os mundos possíveis"
"otimização", "o ato de tornar ideal"
"otimizar", "modificar para obter a máxima eficiência na capacidade de armazenamento ou tempo ou custo"
"otorrinolaringologia", "A especialidade médica que lida com doenças da orelha, nariz e garganta"
"ouriço", "Pequenos mamíferos noturnos do Velho Mundo, cobertos com capas e espinhos protetores"
"ourivesariar", "um artesão que faz jóias e outros objetos de ouro"
"ouro", "um elemento dúctil amarelo macio (trivalente e univalente); ocorre principalmente como pepitas em rochas e depósitos aluviais; não reage com a maioria dos produtos químicos, mas é atacado por cloro e aqua regia"
"ouro", "uma carta de jogo no traje menor que tem um ou mais Rhombuses vermelhos"
"ousadia", "agressividade insolente"
"ousar", "disposto a se aventurar ou correr riscos"
"ousar", "ser corajoso o suficiente para tentar ou fazer algo; , Assim,"
"outeiro", "Uma pequena colina natural"
"outonal", "ou característica de ou ocorrer no outono"
"outono", "o lapso da humanidade na pecaminosidade por causa do pecado de Adão e Eva"
"outorgar", "permitir"
"outro", "distintamente separado do primeiro"
"outrora", "de vez em quando ou aqui e ali"
"outrossim", "além disso"
"outubro", "o mês seguinte em setembro e antecedência de novembro"
"ouvinte", "alguém que escuta atentamente"
"ouvinte", "Uma reunião de espectadores ou ouvintes em um desempenho (geralmente público)"
"ouvir", "boa audição"
"ouvir", "perceber (som) através do sentido auditivo"
"ovação", "Reconhecimento entusiasmado (especialmente um acompanhado por aplausos altos)"
"ovacionar", "Louvado seja votoso"
"oval", "arredondado como um ovo"
"ovalar", "arredondado como um ovo"
"ovário", "(vertebrados) Um dos geralmente dois órgãos que produzem óvulos e secretam estrogênio e progesterona"
"ovelha", "Mamíferos ruminantes de lã geralmente com chifres relacionados à cabra"
"ovino", "de ou pertencente a ou da natureza ou característica de uma ovelha ou ovelha"
"ovino", "Mamíferos ruminantes de lã geralmente com chifres relacionados à cabra"
"ovíparo", "Playing de ovo"
"ovo", "Corpo reprodutivo animal que consiste em um óvulo ou embrião juntamente com envelopes nutritivos e protetores; Especialmente o corpo reprodutivo de casca fina estabelecida por p. Aves femininas"
"ovo", "Corpo reprodutivo oval de uma ave (especialmente uma galinha) usada como alimento"
"ovulação", "A expulsão de um óvulo do ovário (geralmente a meio caminho do ciclo menstrual)"
"óvulo", "Corpo reprodutivo animal que consiste em um óvulo ou embrião juntamente com envelopes nutritivos e protetores; Especialmente o corpo reprodutivo de casca fina estabelecida por p. Aves femininas"
"oxalá", "com esperança; de maneira esperançosa"
"oxalato", "um sal ou éster de ácido oxálico"
"óxer", "qualquer composto de oxigênio com outro elemento ou um radical"
"oxidação", "o processo de oxidação; a adição de oxigênio a um composto com uma perda de elétrons; sempre ocorre acompanhado de redução"
"oxidar", "Adicione oxigênio ou combine com oxigênio"
"oxidar", "coberto com ou consistindo de ferrugem"
"óxido", "qualquer composto de oxigênio com outro elemento ou um radical"
"oxigenação", "o processo de fornecer ou combinar ou tratar com oxigênio"
"oxigênio", "um elemento bivalente não metálico que normalmente é um gás diatômico não inflamável sem odor incolor sem odor; constitui 21 % da atmosfera em volume; o elemento mais abundante na crosta terrestre"
"ozônio", "um gás incolor (O3) solúvel em álcalis e água fria; um forte agente oxidante; pode ser produzido por descarga elétrica em oxigênio ou pela ação da radiação ultravioleta no oxigênio na estratosfera (onde atua como uma tela para radiação ultravioleta)"
"pá", "uma pá que é operada à mão"
"pacato", "(do tempo) livre de tempestade ou vento"
"paciência", "um jogo de cartas jogado por uma pessoa"
"paciente", "duradouro circunstâncias difíceis com temperamento uniforme ou caracterizado por tal resistência"
"pacientemente", "com paciência; de maneira paciente"
"pacificação", "o ato de apaziguar alguém ou fazer com que alguém seja mais favorável"
"pacificamente", "de uma maneira pacífica"
"Pacífico", "promovendo a paz"
"Pacífico", "promovendo a paz"
"pacifismo", "A crença de que todas as disputas internacionais podem ser resolvidas pela arbitragem"
"pacifista", "alguém oposto à violência como um meio de resolver disputas"
"pacote", "um pacote de várias coisas ligadas por carregar ou armazenar"
"pacto", "(Bíblia) Um acordo entre Deus e Seu povo em que Deus faz certas promessas e requer certos comportamentos deles em troca"
"pactuar", "faça um compromisso; chegar a um compromisso"
"padario", "Um local de trabalho onde os assados ​​(pães e bolos e doces) são produzidos ou vendidos"
"padecer", "sofre de; estar doente com"
"padeiro", "alguém que assa pão ou bolo"
"padiolar", "uma estrutura de madeira na qual a tela é esticada e fixada para pintura a óleo"
"padrão", "regularmente e amplamente usado ou vendido"
"padrão", "um modelo considerado digno de imitação"
"padrasto", "o marido de sua mãe por um casamento subsequente"
'"padre", ""Pai" é um termo de endereço para padres em algumas igrejas (especialmente na Igreja Católica Romana ou na Igreja Católica Ortodoxa); `Padre ''é frequentemente usado nas forças armadas"'
"padrinho", "alguém que tem uma relação análoga com a de um patrocinador masculino de sua mala"
"padroeiro", "um santo que é considerado um defensor de algum grupo ou nação"
"padronização", "a imposição de padrões ou regulamentos"
"padronizar", "fazer em conformidade com padrão ou norma"
"pagãar", "Não reconhecendo o Deus do cristianismo, o judaísmo e o Islã"
"pagamento", "o ato de pagar dinheiro"
"paganismo", "qualquer uma das várias religiões além do cristianismo ou judaísmo ou islamismo"
"pagar", "fazer pagamento a; compensar"
"pagar", "marcado pela recepção de pagamento"
"pagem", "um garoto que está empregado para fazer recados"
"paginação", "o sistema de numeração de páginas"
"paginar", "Número das páginas de um livro ou manuscrito"
"págino", "um lado de uma folha (de um livro ou revista ou jornal ou carta etc.) ou a matéria escrita ou pictórica que ele contém"
"pagoder", "um templo asiático; geralmente uma torre piramidal com um telhado de curva para cima"
"pai", "Deus quando considerado como a primeira pessoa na Trindade"
"Pai", "Deus quando considerado como a primeira pessoa na Trindade"
"pai", "um corpo politicamente organizado de pessoas sob um único governo"
"painel", "Painel de instrumentos em um automóvel ou avião contendo mostradores e controles"
"pairar", "ser suspenso no ar, como se quisesse desafiar a gravidade"
"país", "um corpo politicamente organizado de pessoas sob um único governo"
"país", "um corpo politicamente organizado de pessoas sob um único governo"
"paisagem", "pintura representando uma extensão de cenário natural"
"paisagista", "alguém que organiza características da paisagem ou jardim atraente"
"paisano", "uma pessoa do país"
"paixão", "a característica de ser intensamente emocional"
"palácio", "residência oficial de uma pessoa exaltada (como um soberano)"
"palácior", "residência oficial de uma pessoa exaltada (como um soberano)"
"paladar", "um tipo de sentimento; Substâncias distintivas por meio do paladar"
"paladino", "alguém que luta por uma causa"
"palavra", "uma palavra ou frase emprestada de francês"
"palavra", "uma unidade de linguagem que os falantes nativos podem identificar"
"palavrão", "expressão profana ou obscena geralmente de surpresa ou raiva"
"palco", "uma grande plataforma na qual as pessoas podem suportar e podem ser vistas por um público"
"paleolítico", "de ou relacionado ao segundo período da Idade da Pedra (seguindo o eolítico)"
"paleontologia", "a ciência da terra que estuda organismos fósseis e restos relacionados"
"paleontológico", "de ou relacionado à paleontologia"
"paleozóico", "de 544 milhões para cerca de 230 milhões de anos atrás"
"páler", "de cor anormalmente deficiente como sugerindo sofrimento físico ou emocional"
"páler", "oferecendo pouca ou nenhuma esperança"
"palestina", "de ou relacionado à área da Palestina e seus habitantes"
"Palestina", "de ou relacionado à área da Palestina e seus habitantes"
"palestino", "de ou relacionado à área da Palestina e seus habitantes"
"palestrar", "entregar uma palestra ou falar"
"paleta", "placa que fornece uma superfície plana na qual os artistas misturam tintas e a variedade de cores usadas"
"paletó", "um casaco pesado usado sobre roupas no inverno"
"palha", "Material que consiste em coberturas de sementes e pequenos pedaços de caule ou folhas que foram separadas das sementes"
"palhaço", "uma pessoa que diverte os outros por comportamento ridículo"
"palhaço", "uma pessoa que diverte os outros por comportamento ridículo"
"palheta", "um instrumento musical que soa por meio de uma palheta vibratória"
"paliativo", "Moderar dor ou tristeza, facilitando suportar"
"paliçar", "uma barreira que serve para incluir uma área"
"palidez", "Falta não natural de cor na pele (como de hematomas ou doença ou sofrimento emocional)"
"palimpsesto", "Um manuscrito (geralmente escrito em papiro ou pergaminho) no qual mais de um texto foi escrito com a escrita anterior incompleta e ainda visível"
"palitar", "escolha composta por uma pequena faixa de madeira ou plástico; costumava escolher comida entre os dentes"
"palmar", "um golpe de um objeto plano (como uma mão aberta)"
"palmeiro", "Principalmente árvores tropicais, arbustos e videiras geralmente tendo um tronco colunar alto com uma coroa de folhas muito grandes; coextensiva com o pedido palmales"
"palmilho", "a sola interna de um sapato ou bota onde o pé repousa"
"palmo", "a superfície interna da mão do pulso até a base dos dedos"
"palmo", "uma unidade de comprimento igual a 4 polegadas; usado na medição de cavalos"
"palpável", "capaz de ser percebido; especialmente capaz de ser manuseado ou tocado ou sentido"
"pálpebrar", "qualquer uma das duas dobras de pele que podem ser movidas para cobrir ou abrir o olho"
"palpitação", "um movimento instável"
"palpitar", "expandir e contratar ritmicamente; vencer ritmicamente"
"palpitar", "o ato de se curvar em uma posição corcunda"
"panacéio", "remédio hipotético para todos os males ou doenças; uma vez procurado pelos alquimistas"
"panamá", "uma república sobre o istmo do Panamá; alcançou a independência da Colômbia em 1903"
"Panamá", "uma república sobre o istmo do Panamá; alcançou a independência da Colômbia em 1903"
"panamenhar", "um nativo ou habitante do Panamá"
"pancadario", "uma briga"
"panço", "um abdômen saliente"
"pâncreo", "uma grande glândula exócrina alongada localizada atrás do estômago; secreta suco pancreático e insulina"
"pandeiro", "um tambor raso com um único tambor e com discos metálicos nas laterais"
"pando", "grandes mamíferos herbívoros em preto e branco de florestas de bambu da China e Tibete; Em algumas classificações consideradas um membro da família Bear ou de uma família separada Ailuropodidae"
"pandora", "(Mitologia grega) a primeira mulher; Criado por Hephestus por ordens de Zeus que a apresentaram a Epimetheus junto com uma caixa cheia de males"
"pandorga", "Brincadeamento que consiste em uma estrutura de luz coberta com papel de seda; voando de vento no final de uma corda"
"panegírico", "uma expressão formal de louvor"
"panela", "prato grande profundo no qual os alimentos podem ser cozidos e servidos"
"panfleto", "um pequeno livro geralmente tendo uma capa de papel"
"pânico", "uma sensação avassaladora de medo e ansiedade"
"pano", "Artefato feito por tecelagem ou feltro ou tricô ou crochê fibras naturais ou sintéticas"
"panorama", "Uma foto (ou série de fotos) representando uma cena contínua"
"panorâmico", "a partir de uma altitude ou distância"
"panqueca", "Um bolo liso de massa fina frita de ambos os lados em uma chapa"
"pântano", "Terra molhada baixa com vegetação gramada; geralmente é uma zona de transição entre terra e água"
"panteísmo", "A doutrina ou crença de que Deus é o universo e seus fenômenos (tomados ou concebidos como um todo) ou a doutrina que considera o universo como uma manifestação de Deus"
"panteísto", "alguém que acredita que Deus e o universo são iguais"
"pantera", "Grande felino americano semelhante a um leão"
"pantógrafo", "dispositivo mecânico usado para copiar uma figura ou plano em uma escala diferente"
"pão", "comida feita de massa de farinha ou refeição e geralmente levantada com fermento ou fermento em pó e depois assado"
"pão", "uma fonte de materiais para nutrir o corpo"
"papa", "Um mingau fino (geralmente aveia ou farinha de milho)"
"papá", "um termo informal para um pai; Provavelmente derivado da conversa de bebê"
"papagaio", "Normalmente, pássaros zigodactyl tropicais coloridos com bicos curtos e a capacidade de imitar sons"
"papaguear", "Repita sem pensar"
"papai", "um termo informal para um pai; Provavelmente derivado da conversa de bebê"
"papaia", "Grande frutas tropicais semelhantes a melões ovais com carne amarelada"
"papar", "o chefe da Igreja Católica Romana"
"papar", "o governo da Igreja Católica Romana"
"papel", "as ações e atividades atribuídas ou exigidas ou esperadas de uma pessoa ou grupo"
"papelãar", "um papel rígido moderadamente grosso"
"papelada", "trabalho que envolve manusear documentos: formas ou letras ou relatórios etc."
"Papeleta", "Uma placa postada em um local público como anúncio"
"papiro", "Um documento escrito sobre papiro"
'"papo", "discussão; (`Talk sobre ''é uma alternativa menos formal para a" discussão de ")"'
"papoular", "ervas anuais ou bienais ou perenes com flores vistosas"
"páprico", "vagens de terra e sementes de pimentos vermelhos pungentes do gênero Capsicum"
"paquerar", "unir notas musicais de uma gravata"
"paquímetror", "um instrumento para medir a distância entre dois pontos (frequentemente usados ​​no plural)"
"Paquistão", "uma república muçulmana que ocupa o coração da antiga civilização do sul da Ásia no vale do rio Indus; anteriormente parte da Índia; alcançou a independência do Reino Unido em 1947"
"paquistãor", "uma república muçulmana que ocupa o coração da antiga civilização do sul da Ásia no vale do rio Indus; anteriormente parte da Índia; alcançou a independência do Reino Unido em 1947"
"par", "divisível por dois"
"para", "para, em direção ou no leste"
"parabéns", "o ato de reconhecer que alguém tem uma ocasião para comemorar"
"parabólico", "tendo a forma de uma parábola"
"parábolo", "Uma pequena história moral (geralmente com personagens de animais)"
"parabolóide", "uma superfície com seções parabólicas paralelas a um único eixo de coordenadas e seções elípticas perpendiculares a esse eixo"
"paradeiro", "o local geral onde algo está"
"paradigma", "a perspectiva geralmente aceita de uma disciplina específica em um determinado momento"
"paradoxal", "aparentemente contraditório, mas mesmo assim possivelmente verdadeiro"
"paradoxalmente", "de maneira paradoxal"
"paradoxo", "(lógica) Uma afirmação que se contradiz"
"paradoxo", "(lógica) Uma afirmação que se contradiz"
"parafernália", "Equipamentos que consistem em artigos diversos necessários para uma operação ou esporte específico etc."
"parafino", "do petróleo bruto; usado para velas e para revestimentos conservantes ou impermeáveis"
"parafrasear", "expressar a mesma mensagem em palavras diferentes"
"parafuso", "um parafuso que aparafusa em uma porca para formar um fixador"
"parágrafo", "uma das várias subdivisões distintas de um texto destinado a separar idéias; O começo geralmente é marcado por uma nova linha recuada"
"paraguai", "uma república sem litoral na América do Sul do Sul Central; alcançou a independência da Espanha em 1811"
"Paraguai", "uma república sem litoral na América do Sul do Sul Central; alcançou a independência da Espanha em 1811"
"paraguaio", "de ou relacionado a ou característica do Paraguai ou seu povo"
"paraíso", "Qualquer lugar de felicidade completa, deleite e paz"
"paralelepípedo", "Pedra de pavimentação retangular com topo curvo; Uma vez usado para fazer estradas"
"paralelismo", "similaridade em virtude de correspondente"
"paralelo", "estar em toda parte equidistante e não se cruzando"
"paralelo", "estar em toda parte equidistante e não se cruzando"
"paralelogramo", "um quadrilateral cujos lados opostos são paralelos e iguais em comprimento"
"paralisação", "uma interrupção da atividade normal"
"paralisar", "causa para ser paralisado e imóvel"
"paralisio", "perda da capacidade de mover uma parte do corpo"
"paralítico", "afetado com paralisia"
"parâmetro", "uma constante na equação de uma curva que pode variar para produzir uma família de curvas semelhantes"
"parâmetro", "Uma quantidade (como a média ou variação) que caracteriza uma população estatística e que pode ser estimada por cálculos dos dados da amostra"
"paramilitar", "de ou relacionado a um grupo de civis organizado para funcionar como ou para ajudar uma unidade militar"
"paraná", "um rio sul-americano; Tributário do Rio de la Plata"
"Paraná", "um rio sul-americano; Tributário do Rio de la Plata"
"paranóia", "um distúrbio psicológico caracterizado por delírios de perseguição ou grandeza"
"paranóico", "sofrendo de paranóia"
"paranormal", "não de acordo com as leis científicas"
"parapeito", "uma parede baixa ao longo da borda de um telhado ou varanda"
"paraplegia", "Paralisia da metade inferior do corpo (na maioria das vezes como resultado de trauma)"
"parapsicologia", "Fenômenos que parecem contradizer as leis físicas e sugerir a possibilidade de causalidade por processos mentais"
"parar", "impedir a conclusão"
"parar", "uma falha em realizar algum ato ou obrigação prometida"
"parasita", "de plantas ou pessoas; ter a natureza ou hábitos de um parasita ou sanguessuga; vivendo de outro"
"parca", "qualquer uma das três deusas romanas do destino ou destino; identificado com o Moirai grego e semelhante ao nórdico Norns"
'"parcar", "Uma espécie de jaqueta pesada (`Windcheater ''é um termo britânico)"'
"parceiro", "uma pessoa que é membro de uma parceria"
"parcela", "o lote de alguma quantia dividindo algo"
"parcerio", "um sistema de comunicação de rádio bidirecional (geralmente microondas); parte de uma rede de telecomunicações mais extensa"
"parcial", "ser ou afetar apenas uma parte; não total"
"parcialidade", "uma inclinação para favorecer um grupo ou visão ou opinião sobre alternativas"
"parcialmente", "em parte; Em algum grau; não totalmente"
"Parcimônia", "extrema mesquinha"
"parco", "caracterizado por dignidade e propriedade"
"Pardal", "Qualquer um dos vários pequenos pássaros cantores de cor sem graça, alimentando-se de sementes ou insetos"
"pardo", "de uma cor semelhante à de madeira ou terra"
"parecer", "se comportar de uma certa maneira; mostrar um certo comportamento; conduzir ou se comportar"
"parecer", "tendo o mesmo ou características semelhantes"
"parede", "Uma estrutura vertical que divide ou separa (como uma parede divide uma sala de outra)"
"parede", "Uma estrutura vertical que divide ou separa (como uma parede divide uma sala de outra)"
"parelha", "um conjunto de duas coisas semelhantes consideradas como uma unidade"
"parelho", "tendo a mesma quantidade, valor ou medida como outra"
"parente", "uma pessoa relacionada por sangue ou casamento"
'"parentescar", "uma relação entre as pessoas; (`relacionamento ''é frequentemente usado onde a'' relação ''serviria, como em'' a relação entre inflação e desemprego '', mas o uso preferido do'' relacionamento ''é para relações humanas ou estados de relação)"'
"parêntese", "Uma mensagem que parte do assunto principal"
"paridade", "igualdade funcional"
"parir", "Causa para nascer"
"Paris", "a capital e a maior cidade da França; e Centro Internacional de Cultura e Comércio"
"Paris", "a capital e a maior cidade da França; e Centro Internacional de Cultura e Comércio"
"parisiense", "de ou relacionado a ou característica de Paris ou seus habitantes"
"parlamentar", "Tendo o poder legislativo supremo descansando com um corpo de ministros escolhidos e responsáveis ​​para o Legislativo ou Parlamento"
"parlamento", "uma assembléia legislativa em certos países"
"parnaíba", "Um rio no nordeste do Brasil que flui geralmente para o norte para o Oceano Atlântico"
"pároco", "um membro do clero e um líder espiritual da Igreja Cristã"
"paródia", "imitação humorística ou satírica"
"parodiar", "fazer uma paródia de"
"paróquia", "uma comunidade da igreja local"
"paroquial", "restrito restrito na perspectiva ou escopo"
"paroquiano", "um membro de uma paróquia"
"paroquiano", "uma comunidade da igreja local"
"parque", "quintal composto por uma área ao ar livre para brincar infantil"
"parque", "Scottish Explorer na África (1771-1806)"
"parquímetro", "um cronômetro operado por moedas localizado ao lado de um espaço de estacionamento; Depositar dinheiro nele autoriza você a estacionar seu carro lá por um período de tempo especificado"
"Parreira", "uma planta com uma haste fraca que deriva apoio de escalada, entrelaçar ou rastejar ao longo de uma superfície"
"parte", "o ambiente local"
"parte", "o lote de alguma quantia dividindo algo"
"parteirar", "Uma mulher hábil em ajudar a entrega de bebês"
"partição", "o ato de dividir ou particionar; Separação pela criação de um limite que divide ou mantém separados"
"participação", "o ato de compartilhar as atividades de um grupo"
"participar", "Compartilhe em algo"
"particípio", "uma forma não-finita do verbo; Em inglês, é usado adjetivo e para formar tempos compostos"
"partícula", "um corpo com massa finita e estrutura interna, mas dimensões desprezíveis"
"particular", "único ou específico para uma pessoa ou coisa ou categoria"
"particularidade", "a qualidade de ser particular e pertencente a um caso ou instância específico"
"particularizar", "ser específico sobre"
"particularmente", "em uma extensão ou grau distintamente maior do que é comum"
"partículo", "uma palavra de função que pode ser usada em inglês para formar verbos frasais"
"partida", "o ato de partir"
"partidário", "sendo favoravelmente inclinado"
"partidarismo", "uma inclinação para favorecer um grupo ou visão ou opinião sobre alternativas"
"partilhar", "dividir em partes, peças ou seções"
"partilhar", "têm em comum; mantido ou experiente em comum"
"partilhar", "uma distribuição em ações"
"partir", "sem uma peça ou partes"
"partir", "tornar inoperante ou ineficaz"
"partiturar", "uma forma escrita de uma composição musical; Peças para instrumentos diferentes aparecem em pautas separadas em páginas grandes"
"parto", "o processo de parto nos seres humanos; ter um bebê; o processo de dar à luz uma criança"
"parvo", "uma pessoa de inteligência subnormal"
"Pascal", "Uma linguagem de programação projetada para ensinar programação através de uma abordagem modular de cima para baixo"
"Páscoa", "uma celebração cristã da ressurreição de Cristo; comemorado no domingo seguinte à primeira lua cheia após o equinócio vernal"
"Páscoa", "uma celebração cristã da ressurreição de Cristo; comemorado no domingo seguinte à primeira lua cheia após o equinócio vernal"
"pasmar", "atingido de medo, pavor ou consternação"
"pasmar", "surpresa muito; bata as meias de alguém"
"pasmo", "atingido de medo, pavor ou consternação"
"passado", "fora de moda"
"passageiro", "durando um tempo muito curto"
"passagem", "o ato de passar de um estado ou lugar para o próximo"
"passamento", "um estado de dor aguda"
"passaporte", "Qualquer qualidade ou característica que ganha uma recepção ou aceitação ou admissão favorável"
"passaporte", "Um documento emitido por um país para um cidadão que permite que essa pessoa viaje para o exterior e volte a entrar no país de origem"
"passar", "passar, através, ou através"
"passar", "uva seca"
"passarela", "Caminho estreito no ar (como acima de um estágio ou entre partes de um edifício ou ao longo de uma ponte)"
"passarinho", "(golfe) uma pontuação de um golpe sob o par em um buraco"
"Pássaro", "Vertebrados que dão ovos de sangue quente caracterizados por penas e membros anteriores modificados como asas"
"passatempo", "uma atividade auxiliar"
"passatempo", "uma diversão ou passatempo"
"passeador", "um pequeno veículo com quatro rodas nas quais um bebê ou criança é empurrado"
"passear", "acompanhar ou escoltar"
"passeata", "Uma procissão de pessoas andando juntas"
"passeio", "uma caminhada de lazer (geralmente em algum local público)"
"passional", "ter ou expressar emoções fortes"
"passível", "responsável por punição ou merecedor"
"passivo", "resistente pacificamente em resposta à injustiça"
"passo", "o ato de decidir fazer algo"
"pasta", "um caso com uma alça; Para transportar papéis, arquivos ou livros"
"pastagem", "Um campo coberto de grama ou pastagem e adequado para pastagem por gado"
"pastar", "Coma levemente, experimente pratos diferentes"
"paste", "o ato de pastar"
"pastel", "Escrevendo implemento consistindo em um bastão colorido de cera de composição usada para escrever e desenhar"
"pastelar", "uma loja de confeiteiros"
"pasteleiro", "alguém que assa comercialmente"
"pasteurização", "Esterilização parcial de alimentos a uma temperatura que destrói microorganismos nocivos sem grandes mudanças na química da comida"
"pastilhar", "um pequeno doce aromático ou medicamentoso"
"pasto", "comida volumosa como grama ou feno para navegar ou pastar cavalos ou gado"
"pasto", "comida volumosa como grama ou feno para navegar ou pastar cavalos ou gado"
"pastor", "um membro do clero e um líder espiritual da Igreja Cristã"
"patagônia", "região no sul da América do Sul entre os Andes e o Atlântico Sul"
"patamar", "uma terra alta relativamente plana"
"patar", "Pequeno pássaro de nadar de bico largo ou de bico largo ou domesticado, que geralmente tem um corpo deprimido e pernas curtas"
"patente", "claramente revelado à mente ou aos sentidos ou julgamento"
"patente", "Um documento que concede a um inventor exclusivo direitos a uma invenção"
"patentear", "conceder direitos a; conceder uma patente para"
"paternalismo", "A atitude (de uma pessoa ou governo) de que os subordinados devem ser controlados de maneira paterna para o seu próprio bem"
"paternidade", "a relação de parentesco de uma prole para os pais"
"paterno", "característica de um pai"
"pateta", "carne de um ganso (doméstico ou selvagem)"
"patético", "inspirando desprezo misto e pena"
"patíbulo", "um instrumento de execução que consiste em uma moldura de madeira da qual uma pessoa condenada é executada por enforcamento"
"patifer", "um canalha enganoso e não confiável"
"patim", "Equipamento esportivo que é usado nos pés para permitir que o usuário deslize e seja impulsionado pelas ações alternativas das pernas"
"patimr", "Equipamento esportivo que é usado nos pés para permitir que o usuário deslize e seja impulsionado pelas ações alternativas das pernas"
"patinar", "mova-se obliquamente ou de lado, geralmente de maneira descontrolada"
"patinho", "pato jovem"
"pátio", "uma área total ou parcialmente cercada por paredes ou edifícios"
"pato", "Pequeno pássaro de nadar de bico largo ou de bico largo ou domesticado, que geralmente tem um corpo deprimido e pernas curtas"
"patogênico", "capaz de causar doenças"
"patologia", "o ramo da ciência médica que estuda as causas e a natureza e os efeitos das doenças"
"patológico", "causado por ou alterado por ou manifestando doenças ou patologia"
"patologista", "um médico especializado em diagnóstico médico"
"pátr", "o país onde você nasceu"
"patr", "uma pessoa ou empresa que emprega trabalhadores"
"patriarca", "o chefe de uma casa, família ou tribo"
"patriarcar", "Uma forma de organização social na qual um homem é o chefe da família e o título é rastreado pela linha masculina"
"patrício", "um membro da aristocracia"
"patrimonial", "herdado ou herdável por regras estabelecidas (geralmente regras legais) de descida"
"patrimônio", "tudo que você possui; Todos os seus ativos (bens imóveis ou bens pessoais) e passivos"
"patriota", "aquele que ama e defende seu país"
"patriótico", "Inspirado pelo amor pelo seu país"
"patriotismo", "amor ao país e vontade de sacrificar por isso"
"patrístico", "O estudo das vidas, escritos e doutrinas dos pais da igreja"
"patrocinar", "Suponha que o patrocínio de"
"patrocínio", "o ato de patrocinar (oficial ou financeiramente)"
"patrocínio", "o ato de patrocinar (oficial ou financeiramente)"
"Patrono", "um cliente regular"
"patrulha", "Um destacamento usado para segurança ou reconhecimento"
"patrulhar", "manter a segurança de executar uma patrulha"
"patrulher", "Um destacamento usado para segurança ou reconhecimento"
"patuá", "Uma bugiganga ou peça de jóia geralmente pendurada no pescoço e achada ser uma proteção mágica contra o mal ou a doença"
"pau", "uma carta de jogo no traje menor que tem um ou mais trevos negros"
"pau", "Uma haste fina cônica usada por um condutor para liderar uma orquestra ou coro"
"Paulo", "(Novo Testamento) um missionário cristão dos gentios; autor de várias epístolas no Novo Testamento; Mesmo que Paulo não estivesse presente na Última Ceia, ele é considerado um apóstolo"
"Paulo", "(Novo Testamento) um missionário cristão dos gentios; autor de várias epístolas no Novo Testamento; Mesmo que Paulo não estivesse presente na Última Ceia, ele é considerado um apóstolo"
"pausar", "um ato de adiar ou interromper a continuidade"
"pautar", "algo considerado como um exemplo normativo"
"pauzinho", "um de um par de bastões esbeltos usados ​​como utensílios de mesa orientais para comer alimentos"
"pavãor", "Fantas-leste terrestres muito grandes do sudeste asiático frequentemente criado como um pássaro ornamental"
"pavilhão", "emblema geralmente consistindo de um pedaço de pano retangular de design distinto"
"pavimentar", "cubra com um material como pedra ou concreto para tornar adequado para o tráfego de veículos"
"pavimento", "A superfície horizontal inferior interna (como uma sala, corredor, tenda ou outra estrutura)"
"pavio", "o pavio de uma vela"
"pavor", "expectativa ou expectativa temerosa"
"pavoroso", "causando medo ou pavor ou terror"
"paz", "(Igreja Católica Romana) Uma saudação que significa amor cristão para aqueles que ajudam na Eucaristia"
"pé", "A extremidade do pedal de vertebrados além dos seres humanos"
"peão", "(xadrez) a peça menos poderosa; se move apenas para a frente e captura apenas para o lado; Pode ser promovido a uma peça mais poderosa se atingir a 8ª classificação"
"pecador", "uma pessoa que peca (sem se arrepender)"
"pecaminoso", "caracterizado pela iniqüidade; perverso porque acredita-se ser um pecado"
"pecar", "cometer um pecado; violar uma lei de Deus ou uma lei moral"
"peçar", "Equipamento de jogo que consiste em um objeto usado para jogar determinados jogos de tabuleiro"
"pecar", "um ato que é considerado pelos teólogos como uma transgressão da vontade de Deus"
"pechinchar", "Wrangle (acima de um preço, termos de um contrato, etc.)"
"peçonho", "qualquer substância que cause lesão ou doença ou morte de um organismo vivo"
"pecuária", "a prática de cultivar a terra ou aumentar o estoque"
"pecuário", "parecido com uma besta; mostrando falta de sensibilidade humana"
"peculato", "A apropriação fraudulenta de fundos ou propriedades confiadas aos seus cuidados, mas realmente pertencente a outra pessoa"
"peculiar", "único ou específico para uma pessoa ou coisa ou categoria"
"peculiaridade", "Uma característica distintiva de sua natureza pessoal"
"pedaço", "uma parte separada de um todo"
"pedágio", "um estande em um pedágio onde o coletor de pedágio coloca pedágios"
"pedagogia", "A profissão de ensino (especialmente em uma escola, faculdade ou universidade)"
